landslide_id,latitude,longitude,landslide,event_date
100008,15.4043214,-90.44355746,0,2011-01-18
100016,15.40053602,-90.51128669,0,2012-04-15
100030,15.50581472,-90.51115623,0,2021-03-27
100035,15.48181467,-90.27003146,0,2016-02-21
100055,15.37452916,-90.29899997,0,2021-06-20
100111,15.38573863,-90.19289243,0,2018-10-05
100140,15.44582458,-90.19693515,0,2014-07-29
100210,15.37812037,-90.17782944,0,2015-04-16
100234,15.53069418,-90.29992979,0,2020-07-29
100282,15.5125327,-90.25186583,0,2014-11-17
100306,15.43651938,-90.12432083,0,2017-10-08
100306,15.43651938,-90.12432083,0,2010-06-15
100330,15.47813892,-90.09354627,0,2012-02-11
100345,15.38400536,-90.11325104,0,2019-02-16
100345,15.38400536,-90.11325104,0,2017-01-16
100363,15.36029814,-90.00350672,0,2019-01-13
100368,15.64064527,-90.15118454,0,2014-06-15
100403,15.58050007,-90.27976337,0,2021-12-18
100459,15.52228757,-90.34505331,0,2013-06-19
100481,15.88472021,-91.35739467,0,2010-09-16
100515,15.72598576,-91.32381862,0,2012-08-26
100522,15.72955893,-91.01934815,0,2021-10-14
100528,15.81706749,-91.36291867,0,2019-05-28
100539,15.99047388,-91.30834871,0,2014-11-29
100546,15.68753464,-91.06587443,0,2020-12-10
100554,15.85756008,-91.36452784,0,2019-07-28
100609,15.70694433,-91.25687542,0,2021-02-13
100630,15.70759188,-91.05233394,0,2012-06-09
100643,15.8810877,-91.36803792,0,2011-04-30
100653,15.79312405,-91.4324072,0,2012-09-12
100653,15.79312405,-91.4324072,0,2016-08-15
100653,15.79312405,-91.4324072,0,2021-06-25
100653,15.79312405,-91.4324072,0,2011-07-19
100653,15.79312405,-91.4324072,0,2012-09-04
100862,15.03788101,-89.7769921,0,2017-05-10
100863,14.45113745,-89.41046369,0,2017-05-19
100863,14.45113745,-89.41046369,0,2011-01-06
100867,14.69299081,-89.77458687,0,2010-09-30
100869,14.67829284,-89.78314373,0,2010-12-04
100869,14.67829284,-89.78314373,0,2011-12-14
100870,15.13649294,-89.81253715,0,2012-10-10
100886,14.89191225,-89.37619066,0,2016-03-29
100886,14.89191225,-89.37619066,0,2021-08-22
100887,14.52849416,-89.36593215,0,2016-03-27
100903,14.47824009,-89.35238154,0,2020-10-02
100903,14.47824009,-89.35238154,0,2018-11-12
100909,14.45949443,-89.38831734,0,2011-09-15
100931,14.75388955,-89.67060867,0,2012-09-26
100944,14.7975442,-89.670449,0,2018-04-23
