,elevation_mean,slope_mean,aspect_mean,placurv_mean,procurv_mean,precipitation_mm_last_7_days,soil_tax,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_use,rock_type,rock_period,DecistionTree_prediction_prob,RandomForest_prediction_prob,AdaBoost_prediction_prob,XGBoost_prediction_prob,LogisticRegression_prediction_prob,SupportVectorMachine_prediction_prob,DecistionTree_class3,RandomForest_class3,AdaBoost_class3,XGBoost_class3,LogisticRegression_class3,SupportVectorMachine_class3,DecistionTree_class5,RandomForest_class5,AdaBoost_class5,XGBoost_class5,LogisticRegression_class5,SupportVectorMachine_class5,landslide
8767,767.28,17.37882696,175.30066720000002,-4.106221104,-2.9062215000000005,380.6055441200733,4,60,28,1,37,3,32,5,8,7,1,53,0.3978494623655914,0.9457925132383699,0.5011631173483877,0.8894275,0.9958310953251391,0.7725093283478428,Medium,High,Medium,High,High,High,Low,Very High,Medium,Very High,Very High,High,1
3381,169.2,5.117626372000001,259.3754076,0.5881448,-4.21185516,10.258042484521866,7,86,49,3,1,5,3,7,3,4,2,9,0.012618296529968454,0.0,0.49010318916645035,0.0003432686,0.028023905746061947,0.025513734794014278,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
2994,500.12,8.117210927999999,219.61412600000003,4.68925148,-8.91074848,8.194423930719495,5,54,8,2,1,5,2,7,2,7,2,53,0.2754491017964072,0.0,0.49482746735777966,0.0031411885,0.07547477551621404,0.06429394133085631,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0
4576,258.6,6.504379424000002,95.46029736,1.232941184,-6.767058840000001,18.14578689541668,5,163,49,1,1,5,2,7,2,6,2,64,0.012618296529968454,0.0,0.4917231583208808,0.00073075545,0.03148023213344521,0.04296596967404597,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
5879,2314.68,9.942212624000001,123.23830774,5.1183656399999995,-8.08163408,70.78926702216268,2,125,12,1,23,4,2,7,2,7,1,55,0.913588850174216,0.9643038709812376,0.5022614906902636,0.95791674,0.842296796335046,0.9542844459402702,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1
3673,1006.2,18.831834240000006,253.89978319999994,-4.081716388,-4.08171656,14.274047784507276,3,26,22,2,35,4,35,5,2,7,1,63,0.22448979591836735,0.005522411428661429,0.4974996760945379,0.04462725,0.37444219377641447,0.19627190039548728,Low,Low,Medium,Low,Medium,Low,Low,Very Low,Medium,Very Low,Low,Very Low,0
3860,1024.08,25.31698192,214.36572,9.508925112,-6.091074760000001,0.0,3,81,38,1,1,5,2,7,2,7,1,77,0.09595959595959595,0.00025,0.49282982487648663,0.006723858,0.2035068417276727,0.12528280918828982,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Low,Very Low,0
4138,230.44,6.788129284,148.59160871999998,1.38,-0.22,0.0,3,26,22,2,35,4,35,5,2,6,1,54,0.012618296529968454,0.004997252747252746,0.4921800167483591,0.015825698,0.19268896835034652,0.052388303044260856,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
552,2329.12,14.888277692,112.54693132800001,0.3350954920000001,15.93509556,55.665213730186224,5,152,8,1,37,3,2,7,2,8,1,26,0.913588850174216,0.033368752081252076,0.5022670498053479,0.071583845,0.8386101433101492,0.897371523760896,High,Low,Medium,Low,High,High,Very High,Very Low,Medium,Very Low,Very High,Very High,0
880,2265.56,22.26286592,84.18542152,2.108618144,-3.09138164,7.959397877566516,5,19,10,1,15,3,61,4,10,6,2,53,0.8048780487804879,0.021712593370681606,0.5006800967554624,0.065762565,0.5388563644281865,0.696713849008734,High,Low,Medium,Low,Medium,High,Very High,Very Low,Medium,Very Low,Medium,High,0
