,slope_1,slope_6,slope_11,slope_16,slope_21,slope_2,slope_7,slope_12,slope_17,slope_22,slope_3,slope_8,slope_13,slope_18,slope_23,slope_4,slope_9,slope_14,slope_19,slope_24,slope_5,slope_10,slope_15,slope_20,slope_25,aspect_1,aspect_6,aspect_11,aspect_16,aspect_21,aspect_2,aspect_7,aspect_12,aspect_17,aspect_22,aspect_3,aspect_8,aspect_13,aspect_18,aspect_23,aspect_4,aspect_9,aspect_14,aspect_19,aspect_24,aspect_5,aspect_10,aspect_15,aspect_20,aspect_25,curvature_1,curvature_6,curvature_11,curvature_16,curvature_21,curvature_2,curvature_7,curvature_12,curvature_17,curvature_22,curvature_3,curvature_8,curvature_13,curvature_18,curvature_23,curvature_4,curvature_9,curvature_14,curvature_19,curvature_24,curvature_5,curvature_10,curvature_15,curvature_20,curvature_25
17423,61.846584,52.201534,45.0,49.117207,53.967583,60.207973,50.24938,45.0,50.621143,55.33986,0.0,0.0,0.0,20.0,20.0,37.58324,42.573467,45.0,44.33537,37.45831,38.242645,43.156693,45.0,42.16782,34.865814,165.96376,163.30075,180.0,165.25644,166.6075,175.23636,174.28941,180.0,159.77515,161.56505,270.0,270.0,270.0,90.0,90.0,176.18593,176.63354,180.0,158.49857,154.29004,168.69006,169.99202,180.0,168.02386,165.46555,170.0,50.0,90.0,110.0,90.0,-130.0,-90.0,-90.0,-50.0,-150.0,-0.0,-0.0,-0.0,40.0,-40.0,70.0,90.0,90.0,130.0,20.0,-50.0,-110.0,-90.0,-80.0,-70.0
17478,14.142136,10.0,14.252193,16.298006,15.0,14.142136,10.0,12.869538,15.103807,15.0,11.18034,3.535534,3.9528472,5.59017,1.767767,14.252193,12.869538,11.319232,13.462913,11.8585415,8.838835,10.752907,10.0,11.18034,11.18034,225.0,180.0,217.87498,212.47119,180.0,225.0,180.0,209.05461,204.44395,180.0,243.43495,225.0,251.56505,243.43495,225.0,217.87498,209.05461,186.3402,201.8014,198.43495,225.0,215.53767,180.0,206.56505,206.56505,40.0,20.0,-0.0,50.0,30.0,-0.0,-20.0,-30.0,-20.0,-30.0,40.0,-0.0,-10.0,20.0,-0.0,-30.0,40.0,20.0,-0.0,30.0,-20.0,-10.0,-20.0,-30.0,-10.0
17499,54.914707,54.112152,15.0,91.92388,113.35784,72.13269,71.5236,15.0,129.80756,145.7738,80.0,80.0,0.0,145.0,145.0,136.94205,114.086044,25.0,142.83951,141.91768,196.63577,181.46109,25.0,135.42757,134.45493,258.1785,276.6325,0.0,292.38013,311.42368,261.02737,275.01312,0.0,285.64224,300.96375,270.0,270.0,270.0,270.0,270.0,236.16489,265.6013,0.0,278.55557,275.55994,247.184,267.23615,0.0,279.02762,275.8696,-50.0,60.0,-30.0,-160.0,-60.0,-200.0,190.0,30.0,-260.0,480.0,-160.0,160.0,-0.0,-290.0,290.0,60.0,110.0,-50.0,-340.0,270.0,-650.0,480.0,50.0,-210.0,280.0
17502,3.535534,7.9056945,10.0,12.869538,15.103807,3.535534,7.9056945,10.0,14.252193,16.298006,5.0,5.0,0.0,10.0,10.0,7.9056945,7.9056945,5.0,11.18034,11.18034,12.747549,12.747549,5.0,11.18034,11.18034,45.0,18.434948,0.0,330.9454,335.55603,315.0,341.56506,0.0,322.12503,327.5288,270.0,270.0,270.0,270.0,270.0,251.56505,288.43494,0.0,296.56506,296.56506,258.69006,281.30994,0.0,296.56506,296.56506,10.0,-30.0,-20.0,-30.0,-20.0,-10.0,30.0,20.0,-0.0,50.0,-10.0,10.0,-0.0,-20.0,20.0,-0.0,-0.0,-10.0,-30.0,10.0,-40.0,40.0,10.0,-10.0,30.0
17505,49.02168,42.01934,35.0,33.35416,28.504387,47.070427,39.72562,35.0,32.596012,27.613403,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,1.767767,3.9528472,5.0,5.0,0.0,3.9528472,5.303301,340.641,337.24902,0.0,347.00537,344.74487,349.28687,347.27563,0.0,355.6013,354.80557,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,315.0,341.56506,270.0,270.0,270.0,288.43494,315.0,-140.0,-30.0,-70.0,-90.0,-30.0,90.0,80.0,70.0,70.0,50.0,-10.0,10.0,-0.0,-0.0,-0.0,-10.0,10.0,-0.0,-0.0,-10.0,-10.0,10.0,-0.0,-10.0,20.0
17506,74.351364,73.25043,30.0,90.62285,97.78804,76.58737,75.519035,30.0,77.217224,85.51316,70.0,70.0,0.0,60.0,60.0,65.76473,68.007355,25.0,62.649822,68.007355,55.9017,58.5235,25.0,54.08327,60.207973,63.00416,64.74683,0.0,65.556046,57.52881,63.853157,65.556046,0.0,60.945396,52.125015,90.0,90.0,270.0,90.0,90.0,81.25384,72.89727,0.0,61.38954,53.972626,79.69515,70.01689,0.0,56.309933,48.36646,60.0,-190.0,-60.0,120.0,-300.0,210.0,-80.0,60.0,180.0,-0.0,140.0,-140.0,-0.0,120.0,-120.0,130.0,-190.0,-50.0,70.0,-210.0,110.0,-50.0,50.0,130.0,10.0
17512,61.36469,63.8602,65.0,69.664375,77.075455,61.262756,63.762253,65.0,68.852196,76.342155,0.0,0.0,0.0,0.0,0.0,67.54628,62.54998,60.0,56.374863,48.89402,67.91539,62.94839,60.0,57.36397,50.031242,183.50352,183.36646,180.0,189.2933,188.39293,181.16914,181.1233,180.0,183.12213,182.81555,270.0,270.0,270.0,270.0,270.0,182.1211,182.2906,180.0,183.81407,184.39871,186.3402,186.84277,180.0,191.30994,192.99461,110.0,140.0,130.0,100.0,190.0,-120.0,-130.0,-130.0,-130.0,-160.0,-0.0,-0.0,-0.0,-0.0,-0.0,140.0,120.0,120.0,120.0,90.0,-160.0,-100.0,-120.0,-150.0,-60.0
17515,55.0,65.0,70.0,71.5236,74.01436,55.9017,65.76473,70.0,71.78527,74.26726,15.0,15.0,0.0,10.0,10.0,47.434166,47.434166,45.0,50.652,57.906174,47.434166,47.434166,45.0,53.18012,60.13007,180.0,180.0,180.0,174.9869,175.156,169.69516,171.25385,180.0,172.99873,173.23383,90.0,90.0,270.0,90.0,90.0,161.56505,161.56505,180.0,164.24883,166.26373,161.56505,161.56505,180.0,156.44774,159.30455,90.0,150.0,140.0,150.0,140.0,-70.0,-170.0,-140.0,-120.0,-170.0,30.0,-30.0,-0.0,20.0,-20.0,120.0,60.0,90.0,110.0,100.0,-60.0,-120.0,-90.0,-40.0,-170.0
17518,34.14125,37.790543,25.0,61.058376,60.13007,27.443123,31.868872,25.0,63.36896,62.474995,20.0,20.0,0.0,60.0,60.0,21.505814,24.748737,20.0,62.474995,63.36896,17.67767,21.505814,20.0,60.13007,61.058376,66.2505,55.784298,0.0,67.10945,69.30455,59.931416,48.17983,0.0,67.988716,70.11484,90.0,90.0,270.0,90.0,90.0,54.462322,45.0,0.0,70.11484,67.988716,45.0,35.537678,0.0,69.30455,67.10945,50.0,-120.0,-50.0,60.0,-150.0,60.0,10.0,50.0,170.0,-80.0,40.0,-40.0,-0.0,120.0,-120.0,20.0,-80.0,-40.0,80.0,-170.0,40.0,20.0,40.0,150.0,-60.0
17523,88.67074,91.99185,65.0,78.1025,70.71068,84.92644,88.38835,65.0,84.85281,78.1025,60.0,60.0,0.0,65.0,65.0,100.0,100.0,80.0,102.66755,97.22718,100.0,100.0,80.0,107.833786,102.66755,49.57392,47.2026,0.0,39.805573,45.0,47.385944,45.0,0.0,45.0,50.194427,90.0,90.0,270.0,90.0,90.0,36.869896,36.869896,0.0,42.039062,45.0,36.869896,36.869896,0.0,45.0,47.960938,30.0,-270.0,-130.0,-40.0,-180.0,230.0,10.0,130.0,260.0,-40.0,120.0,-120.0,-0.0,130.0,-130.0,-40.0,-280.0,-160.0,-30.0,-260.0,280.0,40.0,160.0,320.0,-30.0
