,landslide_id,latitude,longitude,landslide,event_date,rock_geo,rock_period,fis_nomr,rock_type,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_tax,soil_use
122,122,14.51916667,-90.62333333,1,2008-01-10,Qp,Plioceno al Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cq,Ceniza Volcánica Pomácea,Buen Drenaje,Franca a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Alto,Andisoles,VI
133,133,14.63555556,-90.74722222,1,2008-01-28,Qp,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cq,Ceniza Volcánica Pomácea,Buen Drenaje,Franca a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Alto,Andisoles,II
165,165,14.84166667,-91.13694444,1,2008-03-25,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cm,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Regular a Bajo,Andisoles,VII
188,188,14.62805556,-90.46472222,1,2008-04-07,Tv,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Gt,Ceniza Volcánica,Buen Drenaje,Franco-Arcillosa a Arcilla,Moderadamente Fina,Arcilla a Franco- Arcillosa o Franco-Arcillo- Arenosa,Moderadamente Fina,Bajo (Alto en las zonas quebradas),Alfisoles,VII
200,200,14.65805556,-90.44361111,1,2008-04-13,Tv,Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Gt,Ceniza Volcánica,Buen Drenaje,Franco-Arcillosa a Arcilla,Moderadamente Fina,Arcilla a Franco- Arcillosa o Franco-Arcillo- Arenosa,Moderadamente Fina,Bajo (Alto en las zonas quebradas),Alfisoles,VI
202,202,14.87972222,-91.45944444,1,2008-04-13,Qp,Terciario Superior (Plioceno)  hasta cuaternario inferior (Pleistoceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,SA,-999,-999,-999,,-999,-999,-999,Entisoles,II
203,203,14.91111111,-91.36027778,1,2008-04-13,Qp,Terciario Superior (Plioceno)  hasta cuaternario inferior (Pleistoceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cme,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Muy Alto,Andisoles,III
221,221,14.70166667,-90.50055556,1,2008-05-08,Qp,Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Entisoles,VI
227,227,14.42861111,-91.80888889,1,2008-05-12,Qa,Cuaternario,Llanura Costera del Pacífico,Rocas Sedimentarias,Chm,Depósitos Marinos,Drenaje muy Pobre,Arcilla,Muy Fina,Arcilla,Muy Fina,Bajo,Vertisoles,II
233,233,14.58916667,-90.66305556,1,2008-05-19,Qp,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cq,Ceniza Volcánica Pomácea,Buen Drenaje,Franca a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Alto,Andisoles,VII
235,235,14.63888889,-90.69222222,1,2008-05-19,Qp,Período Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cq,Ceniza Volcánica Pomácea,Buen Drenaje,Franca a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Alto,Andisoles,IV
239,239,15.1675,-90.85138889,1,2008-05-21,Qp,Cuaternario,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,SV,-999,-999,-999,,-999,-999,-999,Inceptisoles,III
257,257,14.90583333,-91.78083333,1,2008-05-26,Qp,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Os,Ceniza Volcánica Pomácea,Drenaje Excesivo,Arena-Franca o Arena Suelta,Gruesa,Ceniza Volcánica,-999,Alto,Andisoles,VIII
263,263,14.24194444,-90.02888889,1,2008-05-31,Qp,Terciario superior al principio del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Qa,Ceniza Volcánica,Buen Drenaje,Franco-Arcillosa,Moderadamente Fina,Arcilla,Muy Fina,Bajo,Andisoles,VI
274,274,14.29222222,-89.89777778,1,2008-06-01,Qv,Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,SV,-999,-999,-999,,-999,-999,-999,Inceptisoles,III
276,276,14.82333333,-91.34666667,1,2008-06-01,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cme,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Muy Alto,Andisoles,VII
286,286,14.79666667,-91.45472222,1,2008-06-02,Tv,Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Al,Ceniza Volcánica,Buen Drenaje,Franco-Arenosa,Moderadamente Fina,-999,-999,Alto,Andisoles,VIII
287,287,14.81861111,-91.45277778,1,2008-06-02,Qp,Terciario Superior (Plioceno)  hasta cuaternario inferior (Pleistoceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Qeq,-999,-999,-999,,-999,-999,-999,Entisoles,VII
288,288,14.70527778,-91.09944444,1,2008-06-02,Tv,Período Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Tn,Ceniza Volcánica,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillo-Arenosa o Franco-Arenosa,Moderadamente Fina,Alto,Andisoles,III
293,293,14.83916667,-91.5425,1,2008-06-03,Qp,Terciario Superior (Plioceno)  hasta cuaternario inferior (Pleistoceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Qe,Ceniza Volcánica,Buen Drenaje,Franco-Arenosa Fina,Media,Franco-Arenosa a Franco-Arenosa Fina,Media,Bajo,Andisoles,II
295,295,15.28694444,-91.09305556,1,2008-06-03,Qp,Terciario superior al Cuaternario,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Sa,Granito Suave y Gneis,Buen Drenaje,Franco-Arenosa,Media,Franco-Arenosa-Fina,Media,Alto,Inceptisoles,VII
296,296,14.82583333,-91.85166667,1,2008-06-03,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Chv,Ceniza Volcánica,Drenaje Excesivo,Arena Fina-Franca Suelta o Arena Muy Fina -Franca,Gruesa,Ceniza no Intemperizada,--,Alto,Andisoles,VIII
298,298,14.96361111,-91.82194444,1,2008-06-03,Qp,Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Qe,Ceniza Volcánica,Buen Drenaje,Franco-Arenosa Fina,Media,Franco-Arenosa a Franco-Arenosa Fina,Media,Bajo,Andisoles,IV
316,316,14.74361111,-91.10944444,1,2008-06-03,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pz,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillosa o Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Andisoles,VII
323,323,14.46611111,90.44083333,1,2008-06-03,,,,,,,,,,,,,,
