,landslide_id,latitude,longitude,landslide,event_date,rock_geo,rock_period,fis_nomr,rock_type,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_tax,soil_use
100008,100008,15.4043214,-90.44355746,0,2011-01-18,Ksd,Cretácico superior,Tierras Altas Sedimentarias,Rocas Sedimentarias,Cb,Caliza,Buen Drenaje,Franco-Limosa,Media,Franco-Arcillo-Limosa a Arcilla,Moderadamente Fina,-999,Ultisoles,VII
100016,100016,15.40053602,-90.51128669,0,2012-04-15,Ksd,Cretácico superior,Tierras Altas Sedimentarias,Rocas Sedimentarias,Tm,Caliza,Buen Drenaje,Franca o Franca-Arcillosa,Media,Franco-Calcáreo o Franco-Arcillosa,Moderadamente Fina,Alto,Entisoles,VII
100030,100030,15.50581472,-90.51115623,0,2021-03-27,Ksd,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Cb,Caliza,Buen Drenaje,Franco-Limosa,Media,Franco-Arcillo-Limosa a Arcilla,Moderadamente Fina,-999,Ultisoles,VI
100035,100035,15.48181467,-90.27003146,0,2016-02-21,Ksd,Cretácico superior,Tierras Altas Sedimentarias,Rocas Sedimentarias,Cr,Ceniza Volcánica,Buen Drenaje,Franco-Limosa a Franca Arcillosa,Media,Franco-Limosa a Franco-Arcillo-Limosa,Media,Regular a Bajo,Andisoles,IV
100055,100055,15.37452916,-90.29899997,0,2021-06-20,Ksd,Cretácico superior,Tierras Altas Sedimentarias,Rocas Sedimentarias,Cr,Ceniza Volcánica,Buen Drenaje,Franco-Limosa a Franca Arcillosa,Media,Franco-Limosa a Franco-Arcillo-Limosa,Media,Regular a Bajo,Ultisoles,VII
100111,100111,15.38573863,-90.19289243,0,2018-10-05,Pc,Creatico superior en el Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Te,Esquisto,Buen Drenaje,Franco-Limosa,Media,Franco-Limosa o Franco-Arcillo-Limosa a Arcilla,Media,Alto,Ultisoles,VII
100140,100140,15.44582458,-90.19693515,0,2014-07-29,Ksd,Cretácico superior,Tierras Altas Sedimentarias,Rocas Sedimentarias,Tm,Caliza,Buen Drenaje,Franca o Franca-Arcillosa,Media,Franco-Calcáreo o Franco-Arcillosa,Moderadamente Fina,Alto,Entisoles,VII
100210,100210,15.37812037,-90.17782944,0,2015-04-16,Pc,Creatico superior en el Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Te,Esquisto,Buen Drenaje,Franco-Limosa,Media,Franco-Limosa o Franco-Arcillo-Limosa a Arcilla,Media,Alto,Ultisoles,VII
100234,100234,15.53069418,-90.29992979,0,2020-07-29,Ksd,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Cb,Caliza,Buen Drenaje,Franco-Limosa,Media,Franco-Arcillo-Limosa a Arcilla,Moderadamente Fina,-999,Ultisoles,VI
100282,100282,15.5125327,-90.25186583,0,2014-11-17,Ksd,Cretácico superior,Tierras Altas Sedimentarias,Rocas Sedimentarias,Tm,Caliza,Buen Drenaje,Franca o Franca-Arcillosa,Media,Franco-Calcáreo o Franco-Arcillosa,Moderadamente Fina,Alto,Entisoles,VII
100306,100306,15.43651938,-90.12432083,0,2017-10-08,Ksd,Cretácico superior,Tierras Altas Sedimentarias,Rocas Sedimentarias,Te,Esquisto,Buen Drenaje,Franco-Limosa,Media,Franco-Limosa o Franco-Arcillo-Limosa a Arcilla,Media,Alto,Ultisoles,VII
100330,100330,15.47813892,-90.09354627,0,2012-02-11,Ksd,Cretácico superior,Tierras Altas Sedimentarias,Rocas Sedimentarias,Tm,Caliza,Buen Drenaje,Franca o Franca-Arcillosa,Media,Franco-Calcáreo o Franco-Arcillosa,Moderadamente Fina,Alto,Entisoles,VII
100345,100345,15.38400536,-90.11325104,0,2019-02-16,Pc,Creatico superior en el Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Te,Esquisto,Buen Drenaje,Franco-Limosa,Media,Franco-Limosa o Franco-Arcillo-Limosa a Arcilla,Media,Alto,Ultisoles,VII
100363,100363,15.36029814,-90.00350672,0,2019-01-13,Pc,Creatico superior en el Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Tm,Caliza,Buen Drenaje,Franca o Franca-Arcillosa,Media,Franco-Calcáreo o Franco-Arcillosa,Moderadamente Fina,Alto,Entisoles,VII
100368,100368,15.64064527,-90.15118454,0,2014-06-15,Ksd,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Tm,Caliza,Buen Drenaje,Franca o Franca-Arcillosa,Media,Franco-Calcáreo o Franco-Arcillosa,Moderadamente Fina,Alto,Entisoles,VII
100403,100403,15.58050007,-90.27976337,0,2021-12-18,Ksd,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Cb,Caliza,Buen Drenaje,Franco-Limosa,Media,Franco-Arcillo-Limosa a Arcilla,Moderadamente Fina,-999,Ultisoles,VII
100459,100459,15.52228757,-90.34505331,0,2013-06-19,Ksd,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Tm,Caliza,Buen Drenaje,Franca o Franca-Arcillosa,Media,Franco-Calcáreo o Franco-Arcillosa,Moderadamente Fina,Alto,Entisoles,VII
100481,100481,15.88472021,-91.35739467,0,2010-09-16,Ksd,Cretácico superior y Terciario Inferior,Tierras Altas Sedimentarias,Rocas Sedimentarias,Tq,Caliza,Buen Drenaje,Franco-Limosa,Media,Arcilla,Muy Fina,Alto,Mollisoles,VII
100515,100515,15.72598576,-91.32381862,0,2012-08-26,CPsr,Finales del Cretácico y principios del Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Qt,Caliza,Buen Drenaje,Franco-Arcillo-Turbosa,Media,Franco-Arcillosa,Moderadamente Fina,Alto,Mollisoles,VIII
100522,100522,15.72955893,-91.01934815,0,2021-10-14,Ksd,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Am,Caliza,Buen Drenaje,Franco-Arcillosa,Moderadamente Fina,Arcillosa,Muy Fina,Alto,Ultisoles,VIII
100528,100528,15.81706749,-91.36291867,0,2019-05-28,JKts,Finales del Cretácico y principios del Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Qt,Caliza,Buen Drenaje,Franco-Arcillo-Turbosa,Media,Franco-Arcillosa,Moderadamente Fina,Alto,Inceptisoles,VII
100539,100539,15.99047388,-91.30834871,0,2014-11-29,Ksd,Cretácico superior y Terciario Inferior,Tierras Altas Sedimentarias,Rocas Sedimentarias,Qt,Caliza,Buen Drenaje,Franco-Arcillo-Turbosa,Media,Franco-Arcillosa,Moderadamente Fina,Alto,Inceptisoles,VI
100546,100546,15.68753464,-91.06587443,0,2020-12-10,Ksd,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Am,Caliza,Buen Drenaje,Franco-Arcillosa,Moderadamente Fina,Arcillosa,Muy Fina,Alto,Ultisoles,VII
100554,100554,15.85756008,-91.36452784,0,2019-07-28,Ksd,Cretácico superior y Terciario Inferior,Tierras Altas Sedimentarias,Rocas Sedimentarias,Tq,Caliza,Buen Drenaje,Franco-Limosa,Media,Arcilla,Muy Fina,Alto,Mollisoles,VII
100609,100609,15.70694433,-91.25687542,0,2021-02-13,Pzm,Finales del Cretácico y principios del Terciario,Tierras Altas Sedimentarias,ROCAS IGNEAS Y METAMORFICAS,Tq,Caliza,Buen Drenaje,Franco-Limosa,Media,Arcilla,Muy Fina,Alto,Mollisoles,VIII
100630,100630,15.70759188,-91.05233394,0,2012-06-09,Ksd,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Am,Caliza,Buen Drenaje,Franco-Arcillosa,Moderadamente Fina,Arcillosa,Muy Fina,Alto,Ultisoles,VII
100643,100643,15.8810877,-91.36803792,0,2011-04-30,Ksd,Cretácico superior y Terciario Inferior,Tierras Altas Sedimentarias,Rocas Sedimentarias,Tq,Caliza,Buen Drenaje,Franco-Limosa,Media,Arcilla,Muy Fina,Alto,Mollisoles,VII
100653,100653,15.79312405,-91.4324072,0,2012-09-12,CPsr,Finales del Cretácico y principios del Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Qt,Caliza,Buen Drenaje,Franco-Arcillo-Turbosa,Media,Franco-Arcillosa,Moderadamente Fina,Alto,Inceptisoles,VIII
100862,100862,15.03788101,-89.7769921,0,2017-05-10,Pzm,Terciario Inferior hasta el Cuaternario Reciente.,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Mj,Esquisto,Buen Drenaje,Franco-Limosa,Media,Franco-Limosa a Arcilla-Micácea,Media,Alto,Inceptisoles,VII
100863,100863,14.45113745,-89.41046369,0,2017-05-19,Tv,Terciario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Chu,Ceniza Volcánica,Buen Drenaje,Franco-Limosa,Media,"Franco, Arcilloso a Arcilla",Moderadamente Fina,Alto,Andisoles,VIII
100867,100867,14.69299081,-89.77458687,0,2010-09-30,Pzm,Terciario al Cuaternario reciente.,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Tl,Esquisto,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillo-Gravosa,Moderadamente Fina,Alto,Inceptisoles,VII
100869,100869,14.67829284,-89.78314373,0,2010-12-04,Tv,Terciario superior al principio del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pi,Toba Volcánica o brecha de Toba de color claro,Buen Drenaje,Franco-Limosa,Media,Arcillo-Arenosa-Gravosa o Arcilla a Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Inceptisoles,VII
100870,100870,15.13649294,-89.81253715,0,2012-10-10,Pzm,Terciario Inferior hasta el Cuaternario Reciente.,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Mj,Esquisto,Buen Drenaje,Franco-Limosa,Media,Franco-Limosa a Arcilla-Micácea,Media,Alto,Inceptisoles,VIII
100886,100886,14.89191225,-89.37619066,0,2016-03-29,Pzm,Terciario al Cuaternario reciente.,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Ta,Brecha de Toba Volcánica o Pórfido Andesítico,Buen Drenaje,Franco-Limosa a Franco-Arcillosa,Media,Arcilla,Muy Fina,Alto,Inceptisoles,VII
