,landslide_id,latitude,longitude,landslide,event_date,rock_geo,rock_period,fis_nomr,rock_type,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_tax,soil_use,elevation_1,elevation_6,elevation_11,elevation_16,elevation_21,elevation_2,elevation_7,elevation_12,elevation_17,elevation_22,elevation_3,elevation_8,elevation_13,elevation_18,elevation_23,elevation_4,elevation_9,elevation_14,elevation_19,elevation_24,elevation_5,elevation_10,elevation_15,elevation_20,elevation_25,slope_1,slope_6,slope_11,slope_16,slope_21,slope_2,slope_7,slope_12,slope_17,slope_22,slope_3,slope_8,slope_13,slope_18,slope_23,slope_4,slope_9,slope_14,slope_19,slope_24,slope_5,slope_10,slope_15,slope_20,slope_25,aspect_1,aspect_6,aspect_11,aspect_16,aspect_21,aspect_2,aspect_7,aspect_12,aspect_17,aspect_22,aspect_3,aspect_8,aspect_13,aspect_18,aspect_23,aspect_4,aspect_9,aspect_14,aspect_19,aspect_24,aspect_5,aspect_10,aspect_15,aspect_20,aspect_25,placurv_1,placurv_6,placurv_11,placurv_16,placurv_21,placurv_2,placurv_7,placurv_12,placurv_17,placurv_22,placurv_3,placurv_8,placurv_13,placurv_18,placurv_23,placurv_4,placurv_9,placurv_14,placurv_19,placurv_24,placurv_5,placurv_10,placurv_15,placurv_20,placurv_25,procurv_1,procurv_6,procurv_11,procurv_16,procurv_21,procurv_2,procurv_7,procurv_12,procurv_17,procurv_22,procurv_3,procurv_8,procurv_13,procurv_18,procurv_23,procurv_4,procurv_9,procurv_14,procurv_19,procurv_24,procurv_5,procurv_10,procurv_15,procurv_20,procurv_25
1,17515,15.13916667,-91.5325,1,2016-06-20,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Si,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arcillosa,Moderadamente Fina,Arcilla,Muy Fina,Alto,Andisoles,VII,2288.0,2288.0,2288.0,2287.0,2287.0,2274.0,2274.0,2274.0,2272.0,2272.0,2274.0,2274.0,2274.0,2272.0,2272.0,2274.0,2274.0,2274.0,2272.0,2272.0,2265.0,2265.0,2265.0,2260.0,2260.0,33.02387,34.99202,35.573715,36.506756,36.8699,33.330814,34.99202,35.67278,36.600258,36.8699,8.530766,0.0,5.710593,5.710593,0.0,25.376934,24.227745,26.863125,30.07349,30.963757,25.376934,24.227745,28.004099,31.018522,30.963757,180.0,180.0,174.9869,175.156,180.0,171.25385,180.0,172.99873,173.23383,180.0,90.0,270.0,90.0,90.0,270.0,161.56505,180.0,164.24883,166.26373,180.0,161.56505,180.0,156.44774,159.30455,180.0,12.081219,-0.0,10.304568,-9.623894,-0.0,-38.92683,-0.0,16.1,-22.925764,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-18.0,-0.0,20.117647,-18.64865,-0.0,-36.0,-0.0,10.613208,-65.68047,-0.0,-137.91878,-140.0,-139.69543,-149.6239,-150.0,131.07317,140.0,136.1,147.07423,150.0,30.0,0.0,-20.0,20.0,0.0,-78.0,-90.0,-89.882355,-118.64865,-120.0,84.0,90.0,50.61321,104.31953,120.0
2,17523,15.30416667,-90.215,1,2016-06-27,CPsr,Creatico superior en el Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Te,Esquisto,Buen Drenaje,Franco-Limosa,Media,Franco-Limosa o Franco-Arcillo-Limosa a Arcilla,Media,Alto,Ultisoles,VIII,982.0,968.0,968.0,968.0,959.0,982.0,968.0,968.0,968.0,959.0,993.0,981.0,981.0,981.0,968.0,993.0,981.0,981.0,981.0,968.0,993.0,981.0,981.0,981.0,968.0,34.99202,34.99202,0.0,24.227745,24.227745,41.56364,42.611526,33.02387,37.990726,35.26439,40.34006,41.472935,33.02387,40.315544,37.990726,30.963757,30.963757,0.0,33.02387,33.02387,45.0,45.0,38.65981,45.754093,44.19453,90.0,90.0,270.0,90.0,90.0,49.57392,47.2026,0.0,39.805573,45.0,47.385944,45.0,0.0,45.0,50.194427,90.0,90.0,270.0,90.0,90.0,36.869896,36.869896,0.0,42.039062,45.0,-0.0,-0.0,0.0,-0.0,-0.0,-19.432177,-139.61644,-0.0,28.08,-80.0,109.58491,-9.968051,-0.0,140.0,28.08,-0.0,-0.0,0.0,-0.0,-0.0,19.2,-134.40001,-0.0,22.02353,-122.5,-140.0,140.0,0.0,-90.0,90.0,-49.43218,130.38356,130.0,68.08,100.0,-120.41509,-19.968052,-130.0,-120.0,68.08,-120.0,120.0,0.0,-130.0,130.0,59.2,145.6,160.0,52.02353,137.5
3,17525,15.30777778,-90.23388889,1,2016-06-29,CPsr,Creatico superior en el Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Te,Esquisto,Buen Drenaje,Franco-Limosa,Media,Franco-Limosa o Franco-Arcillo-Limosa a Arcilla,Media,Alto,Ultisoles,VIII,1050.0,1050.0,1050.0,1049.0,1049.0,1047.0,1047.0,1047.0,1046.0,1046.0,1047.0,1047.0,1047.0,1046.0,1046.0,1047.0,1047.0,1047.0,1046.0,1046.0,1045.0,1045.0,1045.0,1042.0,1042.0,8.984877,8.530766,8.984877,8.984877,8.530766,8.984877,8.530766,8.984877,8.984877,8.530766,2.8624053,0.0,2.8624053,2.8624053,0.0,6.1373796,5.710593,8.293805,10.779772,11.309933,7.0541315,5.710593,10.024988,12.137064,11.309933,161.56505,180.0,161.56505,161.56505,180.0,161.56505,180.0,161.56505,161.56505,180.0,90.0,270.0,90.0,90.0,270.0,144.46233,180.0,149.03624,156.8014,180.0,135.0,180.0,135.0,144.46233,180.0,-6.0,-0.0,12.0,-6.0,-0.0,-12.0,-0.0,6.0,-12.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-6.0,-0.0,8.0,-9.411765,-0.0,-22.5,-0.0,-9.230769,-38.4,-0.0,-26.0,-30.0,-28.0,-26.0,-30.0,28.0,30.0,26.0,28.0,30.0,10.0,0.0,-10.0,10.0,0.0,-16.0,-20.0,-22.0,-39.411766,-40.0,17.5,20.0,-19.23077,31.6,40.0
5,17532,15.60083333,-88.84944444,1,2016-07-04,Tsp,"Terciario superior.(Oligoceno, Plioceno)",Depresión de Izabal,Rocas Sedimentarias,Cha,Caliza,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Alto,Alfisoles,IV,93.0,96.0,96.0,96.0,99.0,96.0,101.0,101.0,101.0,105.0,96.0,101.0,101.0,101.0,105.0,96.0,101.0,101.0,101.0,105.0,96.0,102.0,102.0,102.0,107.0,13.900669,15.909876,14.036243,17.156881,18.275606,15.909876,17.650969,14.036243,17.879036,18.944181,14.036243,14.036243,0.0,11.309933,11.309933,14.724247,14.851063,2.8624053,12.4894,12.942409,16.054317,16.168741,2.8624053,13.797973,14.203598,315.0,322.12503,0.0,328.2405,330.5241,307.87497,315.0,0.0,324.4623,326.88867,270.0,270.0,270.0,270.0,270.0,272.72632,278.1301,0.0,286.38953,292.38013,272.48956,277.4314,0.0,284.74356,290.22485,-25.0,13.235294,-0.0,-33.088234,14.0,13.235294,55.0,-0.0,-2.4390244,48.46154,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-6.730769,-0.0,-10.588236,-6.0,-0.0,12.162163,-0.0,8.653847,25.86207,35.0,33.235294,50.0,46.911766,44.0,33.235294,-45.0,-50.0,-12.439025,-51.538464,50.0,-50.0,0.0,40.0,-40.0,50.0,-46.73077,10.0,39.411766,-26.0,60.0,-57.837837,-10.0,48.653847,-44.13793
6,17544,14.50638889,-90.62305556,1,2016-07-11,Qp,Plioceno al Pleistoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cq,Ceniza Volcánica Pomácea,Buen Drenaje,Franca a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Alto,Andisoles,VIII,1424.0,1424.0,1428.0,1428.0,1428.0,1425.0,1425.0,1429.0,1429.0,1429.0,1425.0,1425.0,1429.0,1429.0,1429.0,1425.0,1425.0,1429.0,1429.0,1429.0,1427.0,1427.0,1431.0,1431.0,1431.0,2.8624053,11.648635,11.648635,2.8624053,23.061136,2.8624053,11.648635,11.648635,2.8624053,20.597847,0.0,11.309933,11.309933,0.0,19.290047,5.710593,12.6043825,12.6043825,5.710593,17.676495,5.710593,12.6043825,12.6043825,5.710593,13.797973,0.0,284.03625,284.03625,0.0,273.36646,0.0,284.03625,284.03625,0.0,273.8141,270.0,270.0,270.0,270.0,270.0,0.0,296.56506,296.56506,0.0,281.30994,0.0,296.56506,296.56506,0.0,284.74356,-0.0,-11.764706,-7.0588236,-0.0,-12.073171,-0.0,7.0588236,11.764706,-0.0,7.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-24.0,-8.0,-0.0,-27.73585,-0.0,8.0,24.0,-0.0,2.0,10.0,38.235294,-37.058823,10.0,87.926834,-10.0,37.058823,-38.235294,-10.0,67.0,0.0,40.0,-40.0,0.0,70.0,20.0,36.0,-28.0,20.0,62.264153,-20.0,28.0,-36.0,-20.0,22.0
7,17545,15.29722222,-90.21083333,1,2016-07-21,Pc,Creatico superior en el Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Te,Esquisto,Buen Drenaje,Franco-Limosa,Media,Franco-Limosa o Franco-Arcillo-Limosa a Arcilla,Media,Alto,Ultisoles,VIII,1104.0,1104.0,1103.0,1103.0,1103.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1111.0,1126.0,1124.0,1124.0,1124.0,1124.0,19.290047,20.023485,21.271475,21.80141,26.579369,19.290047,19.936491,21.19139,21.80141,26.17366,0.0,0.0,0.0,0.0,8.530766,35.95829,34.037563,33.02387,33.02387,31.912418,36.087147,34.18254,33.02387,33.02387,31.53523,0.0,5.9061413,5.52754,0.0,12.9946165,0.0,1.974934,1.8476102,0.0,352.69424,270.0,270.0,270.0,270.0,270.0,1.974934,2.1210964,0.0,0.0,349.5923,5.9061413,6.340192,0.0,0.0,356.49646,-0.0,7.7000003,-11.692307,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,-4.931507,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-38.342697,23.580786,-15.028902,-0.0,-0.0,-0.0,70.0,67.700005,78.30769,80.0,42.0,-70.0,-70.0,-80.0,-80.0,-54.931507,0.0,0.0,0.0,0.0,30.0,150.0,130.0,130.0,130.0,121.6573,-146.41922,-125.0289,-130.0,-130.0,-130.0
8,17548,15.30972222,-90.23916667,1,2016-07-22,CPsr,Creatico superior en el Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Te,Esquisto,Buen Drenaje,Franco-Limosa,Media,Franco-Limosa o Franco-Arcillo-Limosa a Arcilla,Media,Alto,Ultisoles,VIII,1128.0,1128.0,1128.0,1121.0,1121.0,1135.0,1135.0,1135.0,1122.0,1122.0,1135.0,1135.0,1135.0,1122.0,1122.0,1135.0,1135.0,1135.0,1122.0,1122.0,1135.0,1135.0,1135.0,1121.0,1121.0,34.11927,19.290047,26.849054,23.893396,2.8624053,33.264156,19.290047,32.512516,30.473837,2.8624053,28.810795,0.0,33.02387,33.02387,0.0,28.810795,0.0,33.529167,33.56668,2.8624053,26.579369,2.8624053,34.09208,34.09208,2.8624053,60.12401,0.0,57.094757,73.61046,0.0,59.036243,0.0,64.44003,77.73523,0.0,90.0,270.0,90.0,90.0,270.0,90.0,270.0,91.080925,93.2397,180.0,102.99461,180.0,94.2364,94.2364,180.0,-84.87047,-0.0,15.0,-7.0,-0.0,15.8529415,-0.0,96.00918,11.470589,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,8.794118,-0.0,11.270492,-0.0,10.659899,-10.659899,-0.0,105.12953,70.0,15.0,73.0,10.0,55.852943,-70.0,-103.99083,131.4706,-10.0,110.0,0.0,-130.0,130.0,0.0,110.0,0.0,-130.0,128.79411,-10.0,111.27049,-10.0,-139.3401,139.3401,10.0
9,17551,14.835,-91.32972222,1,2016-07-25,Qp,Período Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cm,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Regular a Bajo,Andisoles,VII,2485.0,2485.0,2485.0,2485.0,2484.0,2483.0,2483.0,2483.0,2483.0,2481.0,2483.0,2483.0,2483.0,2483.0,2481.0,2483.0,2483.0,2483.0,2483.0,2481.0,2480.0,2480.0,2480.0,2480.0,2478.0,19.198614,5.710593,5.710593,7.333393,8.588925,16.808315,5.710593,5.710593,8.1112795,9.256682,14.036243,0.0,0.0,5.710593,5.710593,15.909876,8.530766,8.530766,10.2193775,10.2193775,13.900669,8.530766,8.530766,10.2193775,10.2193775,111.03751,180.0,180.0,150.94539,155.55605,114.443954,180.0,180.0,142.12502,147.52881,90.0,270.0,270.0,90.0,90.0,127.874985,180.0,180.0,146.30994,146.30994,135.0,180.0,180.0,146.30994,146.30994,15.849057,-0.0,-0.0,10.0,-7.5,-20.689655,-0.0,-0.0,-2.5,-25.384615,-0.0,0.0,0.0,-0.0,-0.0,13.235294,-0.0,-0.0,23.076923,-4.6153846,-25.0,-0.0,-0.0,4.6153846,-23.076923,65.84906,-20.0,-20.0,-20.0,-27.5,49.310345,20.0,20.0,-2.5,24.615385,50.0,0.0,0.0,-20.0,20.0,33.235294,-30.0,-30.0,-26.923077,-14.615385,35.0,30.0,30.0,14.615385,26.923077
10,17606,15.36166667,-90.48166667,1,2016-08-08,Qp,Cretácico superior,Tierras Altas Sedimentarias,ROCAS IGNEAS Y METAMORFICAS,Cr,Ceniza Volcánica,Buen Drenaje,Franco-Limosa a Franca Arcillosa,Media,Franco-Limosa a Franco-Arcillo-Limosa,Media,Regular a Bajo,Andisoles,VI,1391.0,1390.0,1390.0,1390.0,1388.0,1392.0,1390.0,1390.0,1390.0,1388.0,1392.0,1390.0,1390.0,1390.0,1388.0,1392.0,1390.0,1390.0,1390.0,1388.0,1389.0,1388.0,1388.0,1388.0,1386.0,4.16874,3.6469705,0.0,5.710593,5.710593,5.438008,5.0511527,0.0,5.710593,5.710593,5.710593,5.710593,0.0,5.710593,5.710593,9.256682,8.1112795,5.710593,8.049467,8.049467,8.588925,7.333393,5.710593,8.049467,8.049467,59.036243,78.69007,270.0,90.0,90.0,66.80141,81.869896,270.0,90.0,90.0,90.0,90.0,270.0,90.0,90.0,147.52881,142.12502,180.0,135.0,135.0,155.55605,150.94539,180.0,135.0,135.0,2.5,-0.0,0.0,-0.0,-0.0,14.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,25.384615,2.5,-0.0,20.0,-0.0,7.5,-10.0,-0.0,-0.0,-20.0,2.5,10.0,0.0,-20.0,20.0,-16.0,20.0,0.0,-20.0,20.0,-20.0,20.0,0.0,-20.0,20.0,-24.615385,2.5,-20.0,-20.0,0.0,27.5,20.0,20.0,0.0,20.0
12,17624,15.25861111,-89.08972222,1,2016-08-14,KTsb,Finales del Terciario hasta llegar al actual.,Depresión del Motagua,Rocas Sedimentarias,Qr,Dépositos Aluviales Antiguos o Marinos,Drenaje muy Pobre,Franco-Limosa,Media,Arcilla,Muy Fina,Bajo,Entisoles,III,82.0,82.0,82.0,82.0,83.0,82.0,82.0,82.0,82.0,83.0,79.0,81.0,81.0,81.0,83.0,79.0,81.0,81.0,81.0,83.0,79.0,81.0,81.0,81.0,83.0,0.0,0.0,0.0,2.8624053,2.8624053,7.2646265,4.5202274,2.8624053,4.16874,3.6469705,8.293805,6.0544987,2.8624053,5.438008,5.0511527,5.710593,5.710593,0.0,5.710593,5.710593,6.37937,6.37937,2.8624053,4.5202274,4.5202274,270.0,270.0,270.0,270.0,270.0,191.30994,198.43495,180.0,239.03624,258.69006,210.96376,225.0,180.0,246.8014,261.8699,270.0,270.0,270.0,270.0,270.0,296.56506,296.56506,0.0,288.43494,251.56505,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.5,-0.0,-27.692308,-8.0,-0.0,-14.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-12.0,-4.0,-0.0,-16.0,16.0,0.0,0.0,0.0,10.0,-10.0,-30.0,-10.0,-10.0,-2.5,-10.0,22.307693,-18.0,10.0,16.0,-20.0,20.0,-20.0,0.0,20.0,-20.0,18.0,-14.0,10.0,14.0,-14.0
